player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db
Kyrian Jacquet;1,0;21,36;50;;Q;FRA;128;128;128;55;1663,6;1601,6;1735,1;0,5833333333333334;0,6;0,5555555555555556;0,4146513396122211;473,0;0,3799999999999999;0,0;172
Alejandro Tabilo;4,7;21,25;51;30,0;;CHI;128;128;128;36;1832,2;1697,3;1895,7;0,5833333333333334;0,0;0,1333333333333333;0,5367129336992804;610,0;-0,15;0,0;359
Raphael Collignon;3,0;20,88;52;;;BEL;128;128;128;44;1914,9;1751,5;1924,1;0,6666666666666666;0,6666666666666666;0,375;1,345434000545371;994,0;0,0499999999999999;0,0;174
Arthur Fery;2,0;20,53;53;;WC;GBR;128;128;128;47;1722,3;1602,9;1751,3;0,6666666666666666;0,6666666666666666;0,6;1,9495740144340532;1026,0;0,0799999999999999;1,0;110
Jenson Brooksby;3,4;20,47;54;;;USA;128;128;128;3;1690,9;1629,4;2005,3;0,1666666666666666;0,4;0,5555555555555556;0,9656199473678576;493,0;-0,0299999999999999;0,0;185
Denis Shapovalov;7,4;18,76;55;;;CAN;128;128;128;6;1771,7;1636,5;1983,2;0,25;0,3333333333333333;0,5;0,3435082740123683;518,0;-0,05;0,0;268
Sho Shimabukuro;1,7;18,68;56;;;JPN;128;128;128;46;1680,3;1656,9;1692,5;0,5833333333333334;0,7;0,7142857142857143;0,8286509443878418;896,0;0,0499999999999999;0,0;235
Thiago Agustin Tirante;4,5;18,23;57;;;ARG;128;128;128;22;1748,6;1562,8;1759,1;0,5833333333333334;0,5;0,1818181818181818;0,6325129485738525;550,0;0,0;0,0;345
Valentin Royer;2,4;17,76;59;;;FRA;128;128;128;63;1649,7;1600,6;1800,2;0,3333333333333333;0,0;0,1111111111111111;0,3212604202510249;458,0;-0,15;0,0;199
Vit Kopriva;4,3;17,49;60;;;CZE;128;128;128;54;1726,2;1588,5;1760,5;0,4166666666666667;0,5;0,3076923076923077;1,4836574986034596;1129,0;0,0;0,0;354
Zachary Svajda;3,0;17,44;61;;;USA;128;128;128;35;1730,1;1677,4;1794,0;0,5;0,4;0,3846153846153846;1,06582744446838;1111,0;-0,0299999999999999;0,0;235
Giovanni Mpetshi Perricard;1,3;17,26;62;;;FRA;128;128;128;38;1737,0;1661,2;1862,8;0,5;0,6666666666666666;0,4615384615384615;0,9653326369952864;606,0;0,0499999999999999;0,0;202
Yannick Hanfmann;2,3;17,26;62;;;GER;128;128;128;38;1780,6;1644,6;1843,4;0,4166666666666667;0,5;0,5454545454545454;1,1579428336134676;633,0;0,0;0,0;333
Jan Lennard Struff;2,6;17,15;64;;;GER;128;128;128;14;1691,5;1623,1;1935,1;0,4166666666666667;0,5;0,4;0,8995146279111672;770,0;0,0;0,0;302
