player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_matches_in_tournament;actual_wins;actual_points
Luca Van Assche;1,0;15,24;67;;;FRA;128;128;128;52;1789,6;1744,1;1801,5;0,75;0,6666666666666666;0,5294117647058824;1,866323519670724;1128,0;0,0499999999999999;0,0;305;luca van assche;17;1;25,0
Jurij Rodionov;1,0;14,92;68;;Q;AUT;128;128;128;22;1599,7;1560,0;1702,1;0,6666666666666666;0,75;0,2666666666666666;1,111540530089339;413,0;0,425;0,0;332;jurij rodionov;17;0;0,0
Benjamin Bonzi;1,4;14,5;69;;;FRA;128;128;128;19;1708,2;1671,0;1835,8;0,6666666666666666;0,6666666666666666;0,9230769230769232;1,843500399785887;1006,0;0,1;0,0;287;benjamin bonzi;17;0;0,0
Toby Samuel;1,0;14,46;70;;Q;GBR;128;128;128;54;1750,2;1739,1;1787,4;0,75;0,9;0,9090909090909092;0,999383672261478;362,0;0,5;0,0;79;toby samuel;17;1;25,0
Terence Atmane;5,7;14,38;71;;;FRA;128;128;128;35;1762,0;1733,7;1765,4;0,5;0,625;0,8888888888888888;0,3864362714997779;674,0;0,0;0,0;236;terence atmane;17;0;0,0
Zsombor Piros;1,0;14,19;72;;Q;HUN;128;128;128;26;1691,6;1644,6;1731,0;0,75;1,0;0,1363636363636363;1,1224080183662373;669,0;0,425;0,0;281;zsombor piros;17;0;0,0
Martin Landaluce;3,7;13,99;73;;;ESP;128;128;128;46;1706,6;1663,0;1764,1;0,3333333333333333;0,3333333333333333;0,8571428571428571;1,682903816351911;814,0;0,0;0,0;191;martin landaluce;17;0;0,0
Mattia Bellucci;3,0;13,83;74;;;ITA;128;128;128;26;1715,7;1673,0;1814,3;0,5;0,4;1,0;1,8257612955005096;666,0;0,0;0,0;267;mattia bellucci;17;0;0,0
Giovanni Mpetshi Perricard;1,3;13,05;75;;WC;FRA;128;128;128;22;1689,4;1629,1;1862,8;0,3333333333333333;0,0;0,75;0,210087606274954;260,0;-0,0999999999999999;0,0;203;giovanni mpetshi perricard;17;0;0,0
Arthur Fery;3,8;12,86;76;;WC;GBR;128;128;128;8;1811,1;1733,8;1822,7;0,75;0,8;0,4545454545454545;1,7552598536237285;595,0;0,14;0,0;118;arthur fery;17;0;0,0
Stefanos Tsitsipas;7,4;12,43;77;;;GRE;128;128;128;56;1860,8;1813,0;2145,1;0,6666666666666666;0,5;0,5333333333333333;1,0751488137393277;807,0;0,0;0,0;313;stefanos tsitsipas;17;0;0,0
Francesco Passaro;1,0;12,37;78;;Q;ITA;128;128;128;14;1536,8;1533,8;1779,0;0,5833333333333334;1,0;0,2142857142857142;1,1013028552904316;574,0;0,4499999999999999;0,0;267;francesco passaro;17;0;0,0
Daniel Altmaier;4,4;12,05;79;;;GER;128;128;128;11;1733,6;1660,4;1789,1;0,4166666666666667;0,5;0,5454545454545454;1,107470718941687;700,0;0,0;0,0;303;daniel altmaier;17;0;0,0
Nuno Borges;7,6;11,52;80;;;POR;128;128;128;24;1821,7;1775,0;1843,6;0,6666666666666666;0,75;0,5333333333333333;1,190592251626512;933,0;0,0499999999999999;0,0;305;nuno borges;17;0;0,0
