player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_wins;actual_points;actual_matches_in_tournament
Ethan Quinn;2,3;16,19;56;;;USA;128;128;128;30;1794,3;1683,3;1842,9;0,5;0,5454545454545454;0,55;2,046948484521614;1294,0;0,0;0,0;172;ethan quinn;0;0,0;95
Corentin Moutet;4,3;16,13;57;28,0;;FRA;128;128;128;29;1733,4;1686,4;1881,9;0,5;0,4285714285714285;0,5384615384615384;0,4471114629287399;652,0;-0,05;0,0;192;corentin moutet;0;0,0;95
Yannick Hanfmann;2,3;15,81;58;;;GER;128;128;128;59;1778,8;1736,5;1843,4;0,5833333333333334;0,5;0,6666666666666666;0,329226798047964;331,0;-0,05;0,0;220;yannick hanfmann;1;25,0;95
Pablo Carreno Busta;3,1;15,29;59;;Q;ESP;128;128;128;35;1797,0;1761,2;2005,1;0,75;0,7692307692307693;1,0;0,2615138553139937;294,0;0,3;0,0;123;pablo carreno busta;0;0,0;95
Martin Landaluce;3,6;15,21;60;;LL;ESP;128;128;128;24;1712,0;1647,1;1764,1;0,5833333333333334;0,5;0,4444444444444444;1,3610581882799715;901,0;-0,275;0,0;167;martin landaluce;3;75,0;95
Vit Kopriva;4,3;14,36;61;;;CZE;128;128;128;46;1718,8;1684,4;1760,5;0,5;0,5454545454545454;0,7333333333333333;0,9745075400511808;870,0;0,0499999999999999;0,0;225;vit kopriva;1;25,0;95
Damir Dzumhur;2,4;13,94;62;;;BIH;128;128;128;54;1659,4;1627,3;1895,8;0,4166666666666667;0,4;0,7142857142857143;0,5916805142497789;705,0;-0,075;0,0;234;damir dzumhur;1;25,0;95
Luca Nardi;1,0;13,88;63;;WC;ITA;128;128;128;7;1573,4;1520,0;1724,6;0,5;0,0;0,5;-0,2323752195728891;123,0;0,05;1,0;212;luca nardi;0;0,0;95
Marco Trungelliti;1,3;13,66;64;;;ARG;128;128;128;38;1628,6;1621,2;1693,1;0,5833333333333334;0,7222222222222222;1,0;1,2097452335637051;1107,0;-0,05;0,0;229;marco trungelliti;0;0,0;95
Adrian Mannarino;2,2;13,52;65;;;FRA;128;128;128;54;1675,7;1488,9;1896,3;0,1666666666666666;0,0;0,5;0,4912644555512815;501,0;-0,15;0,0;215;adrian mannarino;0;0,0;95
Marcos Giron;2,0;13,09;66;;;USA;128;128;128;23;1736,7;1613,2;1874,1;0,5833333333333334;0,5;0,3333333333333333;0,9681096149520712;509,0;0,0;0,0;194;marcos giron;0;0,0;95
Zachary Svajda;3,0;13,09;66;;;USA;128;128;128;38;1743,3;1601,7;1794,0;0,4166666666666667;0,0;0,375;0,1853469213361885;166,0;-0,15;0,0;196;zachary svajda;1;25,0;95
Andrea Pellegrino;1,7;12,85;68;;Q;ITA;128;128;128;7;1660,7;1644,0;1681,8;0,4166666666666667;0,4;1,0;1,0435008473359044;399,0;0,3;1,0;175;andrea pellegrino;3;75,0;95
