player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_matches_in_tournament;actual_wins;actual_points
JAIME FARIA;2,5;10,68;68;;Q;POR;128;128;128;31;1696,2;1667,8;1718,2;0,75;0,7647058823529411;0,8947368421052632;0,3487483376437221;689,0;0,35;0,0;143;jaime faria;95;0;0,0
GABRIEL DIALLO;4,3;10,45;69;32,0;;CAN;128;128;128;4;1692,5;1617,3;1889,2;0,25;0,0;0,4;1,6861200665339822;511,0;-0,05;0,0;155;gabriel diallo;95;0;0,0
MARCO TRUNGELLITI;1,3;10,42;70;;LL;ARG;128;128;128;35;1644,7;1629,6;1693,1;0,4166666666666667;0,4444444444444444;0,75;2,2313681782489403;1314,0;-0,23;0,0;186;marco trungelliti;95;0;0,0
ALEXANDRE MULLER;3,9;9,42;71;;;FRA;128;128;128;27;1664,5;1628,4;1801,7;0,25;0,0;1,0;-0,275590159956313;51,0;0,0;0,0;146;alexandre muller;95;0;0,0
ZHIZHEN ZHANG;1,2;7,75;72;;PR;CHN;128;128;128;10;1680,7;1632,6;1830,9;0,4166666666666667;0,0;0,3333333333333333;1,2913810465285804;1035,0;0,0499999999999999;0,0;101;zhizhen zhang;95;0;0,0
CAMILO UGO CARABELLI;3,9;7,51;73;;;ARG;128;128;128;55;1759,2;1740,6;1771,9;0,5;0,4444444444444444;1,0;-0,130702668727888;351,0;0,0;0,0;173;camilo ugo carabelli;95;1;25,0
NUNO BORGES;6,0;7,5;74;;;POR;128;128;128;63;1745,7;1714,2;1843,6;0,5833333333333334;0,5714285714285714;0,5833333333333334;1,3002155390180137;937,0;0,0299999999999999;0,0;161;nuno borges;95;0;0,0
TERENCE ATMANE;4,7;7,4;75;;;FRA;128;128;128;62;1718,4;1635,3;1763,0;0,3333333333333333;0,2857142857142857;0,6363636363636364;1,5159574839968697;727,0;-0,075;0,0;160;terence atmane;95;2;50,0
JENSON BROOKSBY;3,3;7,16;76;;;USA;128;128;128;23;1690,9;1605,7;2005,3;0,1666666666666666;0,0;0,5;0,9319917368927748;572,0;0,0;0,0;71;jenson brooksby;95;0;0,0
ALEXANDER SHEVCHENKO;1,8;7,06;77;;;KAZ;128;128;128;39;1689,3;1634,5;1792,0;0,4166666666666667;0,3333333333333333;1,0;-0,2562359169464346;98,0;0,0;0,0;146;alexander shevchenko;95;0;0,0
